u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
250699613,250699612,Ιπποκράτους,tertiary,True,17.644,2,,,,,,,,,184
250699613,250699359,Ακαδημίας,secondary,True,57.374,4,,,,40.0,,,,,185
250699711,250708641,Σόλωνος,secondary,True,61.903,2,,,,,,,,,186
250699711,250699973,Μαυρομιχάλη,residential,True,90.444,1,,,,,,,,,187
250699982,250691665,Πεσμαζόγλου,tertiary,True,115.988,1,,,,,,,,,188
250699982,250699983,Πανεπιστημίου,primary,True,70.378,4,,,,50.0,,,,,189
250699983,250702474,Πανεπιστημίου,primary,False,28.065,4,,,,50.0,,,,,190
250699983,250699984,Χαριλάου Τρικούπη,tertiary,True,82.52699999999999,2,,,,30.0,,,,,191
250699984,250708099,Φειδίου,residential,True,49.814,,,,,,,,,,192
250699984,250699362,Χαριλάου Τρικούπη,tertiary,True,97.581,2,,,,30.0,,,,,193
250700083,250708099,Γεωργίου Γενναδίου,residential,True,99.045,,,,,,,,,,194
250700083,250699362,Ακαδημίας,secondary,True,50.207,2,,,,,,,,,195
250700084,250700083,Ακαδημίας,secondary,True,115.003,2,,,,,,,,,196
250700084,388172051,Εμμανουήλ Μπενάκη,residential,True,43.455,1,,,,,,,,,197
250700085,250700084,Ακαδημίας,secondary,True,77.438,2,,,,,,,,,198
250700085,250707871,Θεμιστοκλέους,residential,True,88.189,,,,,,,,,,199
250700142,250700344,Σταδίου,primary,True,38.441,3,,ΕΟ1,,,,,,,200
250700248,250700343,Εμμανουήλ Μπενάκη,residential,True,79.297,1,,,,,,,,,201
250700248,250714051,Πανεπιστημίου,primary,True,132.073,4,,,,50.0,,,,,202
250700339,250706959,Σόλωνος,secondary,True,76.849,2,,,,,,,,,203
250700339,364104830,Εμμανουήλ Μπενάκη,residential,True,66.702,1,,,,,,,,,204
250700341,250707871,Νικηταρά,residential,True,89.512,,,,,,,,,,205
250700341,250700084,Εμμανουήλ Μπενάκη,residential,True,42.344,1,,,,,,,,,206
250700343,250708051,Εμμανουήλ Μπενάκη,residential,True,4.891,1,,,,,,,,,207
250700344,250691664,Σταδίου,primary,True,127.439,3,,ΕΟ1,,,,,,,208
250700344,250700248,Εμμανουήλ Μπενάκη,residential,True,118.28099999999998,1,,,,,,,,,209
250702474,250699983,Πανεπιστημίου,primary,False,28.065,4,,,,50.0,,,,,210
250702474,250700248,Πανεπιστημίου,primary,True,133.777,4,,,,50.0,,,,,211
250706414,250691670,Κολοκοτρώνη,residential,True,80.438,1,,,,,,,,,212
250706958,388172056,Ζωοδόχου Πηγής,residential,True,35.547999999999995,,,,,,,,,,213
250706958,388172075,Σόλωνος,secondary,True,87.07,2,,,,,,,,,214
250706959,388172083,Θεμιστοκλέους,residential,True,65.98400000000001,,,,,,,,,,215
250707871,250700343,"['Θεμιστοκλέους', 'Γαμβέτα']",residential,True,97.841,,,,,,,,,,216
250708051,250700341,Εμμανουήλ Μπενάκη,residential,True,56.516000000000005,1,,,,,,,,,217
250708099,250708051,Φειδίου,residential,True,113.912,,,,,,,,,,218
