episode,step,state,action,next_state,reward,trajectory
10,12.0,418.0,1.0,251.0,0.8995175957679749,
10,13.0,251.0,1.0,164.0,0.6781939268112183,
10,14.0,164.0,1.0,174.0,0.8729608654975891,
10,15.0,174.0,0.0,159.0,0.7586920261383057,
10,16.0,159.0,0.0,167.0,0.7368075847625732,
10,17.0,167.0,1.0,166.0,0.9691604971885681,
10,18.0,166.0,0.0,392.0,0.7262397408485413,
10,,,,,,"[{'state': 30, 'action': 1}, {'state': 236, 'action': 1}, {'state': 376, 'action': 0}, {'state': 231, 'action': 1}, {'state': 198, 'action': 1}, {'state': 196, 'action': 1}, {'state': 195, 'action': 1}, {'state': 180, 'action': 1}, {'state': 315, 'action': 1}, {'state': 185, 'action': 1}, {'state': 179, 'action': 2}, {'state': 418, 'action': 1}, {'state': 251, 'action': 1}, {'state': 164, 'action': 1}, {'state': 174, 'action': 0}, {'state': 159, 'action': 0}, {'state': 167, 'action': 1}, {'state': 166, 'action': 0}]"
11,1.0,345.0,1.0,169.0,0.4280935823917389,
11,2.0,169.0,0.0,369.0,0.5060490369796753,
11,3.0,369.0,0.0,168.0,0.6869703531265259,
11,4.0,168.0,1.0,374.0,0.7613260746002197,
11,5.0,374.0,1.0,156.0,0.7176837921142578,
11,6.0,156.0,0.0,157.0,0.6930221915245056,
11,7.0,157.0,0.0,176.0,0.7349322438240051,
11,8.0,176.0,0.0,177.0,0.7741124033927917,
11,9.0,177.0,0.0,189.0,0.6822739243507385,
11,10.0,189.0,1.0,190.0,0.6544299721717834,
11,11.0,190.0,0.0,211.0,0.6075990796089172,
11,12.0,211.0,1.0,202.0,0.7747927308082581,
11,13.0,202.0,0.0,235.0,1.0264517068862915,
11,14.0,235.0,0.0,246.0,0.649921178817749,
11,15.0,246.0,0.0,34.0,0.8222769498825073,
11,,,,,,"[{'state': 345, 'action': 1}, {'state': 169, 'action': 0}, {'state': 369, 'action': 0}, {'state': 168, 'action': 1}, {'state': 374, 'action': 1}, {'state': 156, 'action': 0}, {'state': 157, 'action': 0}, {'state': 176, 'action': 0}, {'state': 177, 'action': 0}, {'state': 189, 'action': 1}, {'state': 190, 'action': 0}, {'state': 211, 'action': 1}, {'state': 202, 'action': 0}, {'state': 235, 'action': 0}, {'state': 246, 'action': 0}]"
12,1.0,52.0,1.0,360.0,0.4384128451347351,
12,2.0,360.0,1.0,0.0,0.5338703393936157,
12,3.0,0.0,1.0,366.0,0.6668685078620911,
12,4.0,366.0,1.0,351.0,0.4040633738040924,
12,5.0,351.0,2.0,248.0,0.2555605173110962,
12,6.0,248.0,1.0,30.0,0.46139803528785706,
12,7.0,30.0,0.0,237.0,0.5893221497535706,
12,8.0,237.0,1.0,233.0,0.6020897030830383,
12,9.0,233.0,1.0,234.0,1.2088510990142822,
12,10.0,234.0,0.0,200.0,0.6716976165771484,
12,11.0,200.0,1.0,208.0,0.6109067797660828,
12,12.0,208.0,1.0,145.0,0.6140376329421997,
12,13.0,145.0,1.0,146.0,0.7760191559791565,
12,14.0,146.0,0.0,148.0,0.7155658602714539,
12,15.0,148.0,0.0,227.0,0.7308497428894043,
12,16.0,227.0,2.0,151.0,0.7771106958389282,
12,17.0,151.0,0.0,152.0,0.7573736310005188,
12,18.0,152.0,1.0,154.0,0.7398111820220947,
12,19.0,154.0,0.0,4.0,0.6650434136390686,
12,,,,,,"[{'state': 52, 'action': 1}, {'state': 360, 'action': 1}, {'state': 0, 'action': 1}, {'state': 366, 'action': 1}, {'state': 351, 'action': 2}, {'state': 248, 'action': 1}, {'state': 30, 'action': 0}, {'state': 237, 'action': 1}, {'state': 233, 'action': 1}, {'state': 234, 'action': 0}, {'state': 200, 'action': 1}, {'state': 208, 'action': 1}, {'state': 145, 'action': 1}, {'state': 146, 'action': 0}, {'state': 148, 'action': 0}, {'state': 227, 'action': 2}, {'state': 151, 'action': 0}, {'state': 152, 'action': 1}, {'state': 154, 'action': 0}]"
13,1.0,168.0,1.0,374.0,0.7931863069534302,
13,2.0,374.0,1.0,156.0,0.7752968072891235,
13,3.0,156.0,0.0,157.0,0.6780565977096558,
13,4.0,157.0,0.0,176.0,0.6631474494934082,
13,5.0,176.0,0.0,177.0,0.8288668394088745,
13,6.0,177.0,0.0,189.0,0.6031638383865356,
13,7.0,189.0,1.0,190.0,0.7076178193092346,
13,8.0,190.0,0.0,211.0,0.7444848418235779,
13,9.0,211.0,1.0,202.0,0.8625200986862183,
13,10.0,202.0,0.0,235.0,0.5824990272521973,
13,11.0,235.0,0.0,246.0,0.4893878996372223,
13,12.0,246.0,0.0,34.0,0.7408194541931152,
13,13.0,34.0,0.0,33.0,0.6688841581344604,
13,14.0,33.0,0.0,31.0,0.5984012484550476,
13,15.0,31.0,0.0,357.0,0.545171320438385,
13,16.0,357.0,0.0,40.0,0.6748871803283691,
13,17.0,40.0,1.0,49.0,0.8171215653419495,
13,18.0,49.0,1.0,364.0,0.6150557398796082,
13,19.0,364.0,1.0,48.0,3.4973485469818115,
13,20.0,48.0,0.0,44.0,0.5162445306777954,
13,21.0,44.0,0.0,51.0,0.9267833232879639,
13,,,,,,"[{'state': 168, 'action': 1}, {'state': 374, 'action': 1}, {'state': 156, 'action': 0}, {'state': 157, 'action': 0}, {'state': 176, 'action': 0}, {'state': 177, 'action': 0}, {'state': 189, 'action': 1}, {'state': 190, 'action': 0}, {'state': 211, 'action': 1}, {'state': 202, 'action': 0}, {'state': 235, 'action': 0}, {'state': 246, 'action': 0}, {'state': 34, 'action': 0}, {'state': 33, 'action': 0}, {'state': 31, 'action': 0}, {'state': 357, 'action': 0}, {'state': 40, 'action': 1}, {'state': 49, 'action': 1}, {'state': 364, 'action': 1}, {'state': 48, 'action': 0}, {'state': 44, 'action': 0}]"
14,1.0,390.0,0.0,344.0,0.2954370677471161,
14,2.0,344.0,0.0,168.0,0.495866984128952,
14,3.0,168.0,1.0,374.0,0.6579477787017822,
14,4.0,374.0,1.0,156.0,0.670210599899292,
14,5.0,156.0,0.0,157.0,0.67984539270401,
14,6.0,157.0,0.0,176.0,0.6742473840713501,
14,7.0,176.0,0.0,177.0,0.7162331342697144,
14,8.0,177.0,0.0,189.0,0.6816043853759766,
14,9.0,189.0,1.0,190.0,0.564543604850769,
14,10.0,190.0,0.0,211.0,0.5532004833221436,
14,11.0,211.0,1.0,202.0,0.7397193312644958,
14,12.0,202.0,0.0,235.0,0.6453685164451599,
14,13.0,235.0,1.0,245.0,0.3485549986362457,
14,14.0,245.0,0.0,239.0,0.7194715738296509,
14,15.0,239.0,0.0,241.0,1.5334370136260986,
14,16.0,241.0,0.0,242.0,0.6794620156288147,
14,,,,,,"[{'state': 390, 'action': 0}, {'state': 344, 'action': 0}, {'state': 168, 'action': 1}, {'state': 374, 'action': 1}, {'state': 156, 'action': 0}, {'state': 157, 'action': 0}, {'state': 176, 'action': 0}, {'state': 177, 'action': 0}, {'state': 189, 'action': 1}, {'state': 190, 'action': 0}, {'state': 211, 'action': 1}, {'state': 202, 'action': 0}, {'state': 235, 'action': 1}, {'state': 245, 'action': 0}, {'state': 239, 'action': 0}, {'state': 241, 'action': 0}]"
15,1.0,345.0,1.0,169.0,0.45593270659446716,
15,2.0,169.0,0.0,369.0,0.5094836354255676,
15,3.0,369.0,0.0,168.0,0.7003670930862427,
15,4.0,168.0,1.0,374.0,0.7973731756210327,
15,5.0,374.0,1.0,156.0,0.7437764406204224,
15,6.0,156.0,0.0,157.0,0.6859875321388245,
15,7.0,157.0,0.0,176.0,0.7768524885177612,
15,8.0,176.0,0.0,177.0,0.7761650085449219,
15,9.0,177.0,0.0,189.0,0.6627681255340576,
15,10.0,189.0,1.0,190.0,0.722809910774231,
15,11.0,190.0,0.0,211.0,0.789211094379425,
15,12.0,211.0,1.0,202.0,0.8316619396209717,
15,13.0,202.0,1.0,234.0,0.9298906326293945,
15,14.0,234.0,0.0,200.0,0.8186734914779663,
15,,,,,,"[{'state': 345, 'action': 1}, {'state': 169, 'action': 0}, {'state': 369, 'action': 0}, {'state': 168, 'action': 1}, {'state': 374, 'action': 1}, {'state': 156, 'action': 0}, {'state': 157, 'action': 0}, {'state': 176, 'action': 0}, {'state': 177, 'action': 0}, {'state': 189, 'action': 1}, {'state': 190, 'action': 0}, {'state': 211, 'action': 1}, {'state': 202, 'action': 1}, {'state': 234, 'action': 0}]"
16,1.0,324.0,0.0,326.0,0.5556480288505554,
16,2.0,326.0,1.0,280.0,0.7747739553451538,
16,3.0,280.0,0.0,397.0,0.6434338092803955,
16,4.0,397.0,0.0,385.0,0.49252650141716003,
16,5.0,385.0,1.0,91.0,1.6697099208831787,
16,6.0,91.0,0.0,85.0,0.654097318649292,
16,7.0,85.0,1.0,314.0,0.590278148651123,
16,8.0,314.0,0.0,347.0,0.6567859053611755,
16,9.0,347.0,1.0,83.0,0.8694117069244385,
16,10.0,83.0,2.0,77.0,0.8550122976303101,
16,11.0,77.0,0.0,75.0,0.6587300896644592,
16,12.0,75.0,1.0,310.0,0.4747120440006256,
16,13.0,310.0,0.0,237.0,0.6151160001754761,
16,14.0,237.0,1.0,233.0,0.7974870204925537,
16,15.0,233.0,1.0,234.0,0.644295334815979,
16,16.0,234.0,0.0,200.0,0.7340158224105835,
16,17.0,200.0,1.0,208.0,0.8388568758964539,
16,18.0,208.0,1.0,145.0,0.8072549104690552,
16,19.0,145.0,1.0,146.0,0.9299706220626831,
16,20.0,146.0,0.0,148.0,0.781215488910675,
16,21.0,148.0,0.0,227.0,0.7864430546760559,
16,22.0,227.0,2.0,151.0,1.0613032579421997,
16,23.0,151.0,0.0,152.0,0.8057938814163208,
16,24.0,152.0,1.0,154.0,1.4032752513885498,
16,25.0,154.0,0.0,4.0,0.5358014106750488,
16,,,,,,"[{'state': 324, 'action': 0}, {'state': 326, 'action': 1}, {'state': 280, 'action': 0}, {'state': 397, 'action': 0}, {'state': 385, 'action': 1}, {'state': 91, 'action': 0}, {'state': 85, 'action': 1}, {'state': 314, 'action': 0}, {'state': 347, 'action': 1}, {'state': 83, 'action': 2}, {'state': 77, 'action': 0}, {'state': 75, 'action': 1}, {'state': 310, 'action': 0}, {'state': 237, 'action': 1}, {'state': 233, 'action': 1}, {'state': 234, 'action': 0}, {'state': 200, 'action': 1}, {'state': 208, 'action': 1}, {'state': 145, 'action': 1}, {'state': 146, 'action': 0}, {'state': 148, 'action': 0}, {'state': 227, 'action': 2}, {'state': 151, 'action': 0}, {'state': 152, 'action': 1}, {'state': 154, 'action': 0}]"
17,1.0,55.0,1.0,132.0,0.48498091101646423,
17,2.0,132.0,0.0,134.0,0.36282989382743835,
17,3.0,134.0,1.0,52.0,0.3248157501220703,
17,4.0,52.0,1.0,360.0,0.43245694041252136,
17,5.0,360.0,1.0,0.0,0.5574109554290771,
17,6.0,0.0,1.0,366.0,0.37758585810661316,
17,7.0,366.0,1.0,351.0,0.41235989332199097,
17,8.0,351.0,2.0,248.0,0.4274539351463318,
17,9.0,248.0,1.0,30.0,0.36399173736572266,
17,10.0,30.0,1.0,236.0,0.37888264656066895,
17,11.0,236.0,1.0,376.0,0.7041999101638794,
17,12.0,376.0,0.0,231.0,0.54998379945755,
17,13.0,231.0,1.0,198.0,0.6256434321403503,
17,14.0,198.0,1.0,196.0,0.7212463021278381,
17,15.0,196.0,1.0,195.0,0.6616501808166504,
17,16.0,195.0,1.0,180.0,0.6490232348442078,
17,17.0,180.0,1.0,315.0,0.7801267504692078,
17,18.0,315.0,1.0,185.0,0.5896892547607422,
17,19.0,185.0,1.0,179.0,0.8097027540206909,
17,20.0,179.0,2.0,418.0,0.7259238958358765,
17,21.0,418.0,1.0,251.0,0.8057523965835571,
17,22.0,251.0,1.0,164.0,0.6676479578018188,
17,23.0,164.0,1.0,174.0,0.7664624452590942,
17,24.0,174.0,0.0,159.0,0.804836094379425,
17,25.0,159.0,0.0,167.0,0.7721410989761353,
